,WML_Return
2003-02-01,-0.05099712912253814
2003-03-01,-0.036249953791427585
2003-04-01,-0.12386790317844096
2003-05-01,-0.29972881621810243
2003-06-01,-0.005654755072900178
2003-07-01,0.09308346982494528
2003-08-01,-0.06784835641325604
2003-09-01,-0.04572783526360835
2003-10-01,0.07799276738223848
2003-11-01,0.035805418559682126
2003-12-01,-0.11902714773571324
2004-01-01,-0.003697775411433256
2004-02-01,-0.019388824926616057
2004-03-01,0.06263177104114961
2004-04-01,-0.10834202332215845
2004-05-01,0.032121799735890265
2004-06-01,0.018713246403212643
2004-07-01,-0.035806865959621154
2004-08-01,-0.020715132903948674
2004-09-01,-0.0003325816677594018
2004-10-01,0.065568403238742
2004-11-01,0.027384724920575032
2004-12-01,-0.10026827987643105
2005-01-01,0.06329428375446473
2005-02-01,0.06087527507833704
2005-03-01,0.05309970330770675
2005-04-01,-0.041397076987432696
2005-05-01,0.024522045310736654
2005-06-01,0.01902822951799251
2005-07-01,0.024561394584779697
2005-08-01,0.1126629187095507
2005-09-01,0.13372282604371855
2005-10-01,-0.04533439555345817
2005-11-01,0.02689371810341204
2005-12-01,0.04237416237769859
2006-01-01,0.09977291032001007
2006-02-01,-0.08586503092245817
2006-03-01,0.008566329698184685
2006-04-01,0.0036235339116471015
2006-05-01,-0.10609922687208292
2006-06-01,-0.00925046019523982
2006-07-01,-0.06040884361308691
2006-08-01,-0.0416996264048489
2006-09-01,0.022897643556867197
2006-10-01,0.04345380551490264
2006-11-01,-0.010394901733743231
2006-12-01,-0.027322648810969997
2007-01-01,0.008580027291620981
2007-02-01,-0.003031428104975444
2007-03-01,0.08029623516564051
2007-04-01,-0.02735030285551678
2007-05-01,0.0016033312461942138
2007-06-01,-0.02578515951479507
2007-07-01,0.028194953317283288
2007-08-01,0.043509379701377054
2007-09-01,0.07525146595869135
2007-10-01,0.06070599637085705
2007-11-01,0.06334253621666801
2007-12-01,0.11167344964519049
2008-01-01,-0.16017481087973268
2008-02-01,0.08443755289537479
2008-03-01,0.040340929560612956
2008-04-01,-0.02601726726841202
2008-05-01,0.054859424690714406
2008-06-01,0.07222860324541933
2008-07-01,-0.03356621049344394
2008-08-01,-0.12148685310405806
2008-09-01,-0.000806953022797513
2008-10-01,0.07863961491582247
2008-11-01,0.11447644713159917
2008-12-01,-0.1016270623655283
2009-01-01,-0.019284414314959614
2009-02-01,0.06689140304703656
2009-03-01,-0.25637854133283033
2009-04-01,-0.3931407190427682
2009-05-01,-0.04751496913989909
2009-06-01,0.044225313390240564
2009-07-01,-0.07431081349013896
2009-08-01,-0.10105397523487517
2009-09-01,-0.027526451923174863
2009-10-01,0.010945881840544416
2009-11-01,0.09601356947933161
2009-12-01,0.11273587709405435
2010-01-01,-0.08441595527778296
2010-02-01,0.05177306175967149
2010-03-01,0.05900332710195335
2010-04-01,0.05653404944857515
2010-05-01,0.013929001798958396
2010-06-01,-0.016830705342026818
2010-07-01,0.033053962467406245
2010-08-01,-0.01664521464870907
2010-09-01,0.014983725569159528
2010-10-01,0.03429307479461622
2010-11-01,0.04171084374745901
2010-12-01,-0.050301371180051624
2011-01-01,-0.05951377381962791
2011-02-01,0.03144892899340595
2011-03-01,-0.0005783219717084764
2011-04-01,-0.003491683203818218
2011-05-01,0.01664364591169637
2011-06-01,0.024598495654599845
2011-07-01,0.004545561824338729
2011-08-01,0.07010331729902083
2011-09-01,0.04232639656422443
2011-10-01,-0.10262491808800703
2011-11-01,0.09442815272299877
2011-12-01,0.01964186108676709
2012-01-01,-0.10220471355609621
2012-02-01,-0.023794719333655637
2012-03-01,-0.0154243394130862
2012-04-01,0.10627447730550477
2012-05-01,-0.01085497833211179
2012-06-01,-0.03469099809481402
2012-07-01,0.018807057773598968
2012-08-01,-0.001656530255877843
2012-09-01,-0.01939103884332223
2012-10-01,0.04036677766831948
2012-11-01,0.030935876245691194
2012-12-01,-0.0229889433300999
2013-01-01,-0.01726653730667041
2013-02-01,0.005910722273985347
2013-03-01,0.020746399246348225
2013-04-01,0.007513005993815915
2013-05-01,-0.014500251358868774
2013-06-01,-0.038832669913413886
2013-07-01,0.13876753003374231
2013-08-01,-0.010805074292337215
2013-09-01,0.031572510013593125
2013-10-01,0.02462156083881089
2013-11-01,0.02348961212865976
2013-12-01,-0.026299286674613207
2014-01-01,0.014387396014936901
2014-02-01,0.03147210720276653
2014-03-01,-0.0933633815191563
2014-04-01,-0.02408717371113686
2014-05-01,0.03514278063187267
2014-06-01,-0.007612111147670582
2014-07-01,-0.003983978240921545
2014-08-01,0.00037139637993930524
2014-09-01,-0.022927296526747187
2014-10-01,0.03203357914108029
2014-11-01,-0.008305453626983969
2014-12-01,0.008022124551781548
2015-01-01,0.018475373264291297
2015-02-01,-0.04950260341854275
2015-03-01,0.01870089882327663
2015-04-01,-0.05738388551704607
2015-05-01,0.07019540204067415
2015-06-01,0.032046134997242084
2015-07-01,0.08738674203048566
2015-08-01,0.013548569433173667
2015-09-01,0.020224336610771443
2015-10-01,-0.053221733045464625
2015-11-01,0.02257969386999044
2015-12-01,0.01196847012523162
2016-01-01,-0.01674620626416108
2016-02-01,-0.04240667971235962
2016-03-01,-0.014217061242962903
2016-04-01,-0.0801872808149009
2016-05-01,0.06363122812739469
2016-06-01,0.07872437675626873
2016-07-01,0.02026879543962816
2016-08-01,-0.01921995415781395
2016-09-01,0.0271516959341579
2016-10-01,0.029694197014241572
2016-11-01,-0.03405811720353021
2016-12-01,0.033928819370314466
2017-01-01,-0.026161672757835475
2017-02-01,0.009542835028091522
