Date,^OEX
2002-01-03,0.010441822503318265
2002-01-04,0.005847429032645124
2002-01-07,-0.007016274886501583
2002-01-08,-0.003213225266775366
2002-01-09,-0.004860767734704674
2002-01-10,0.001594251296073157
2002-01-11,-0.010769414416579193
2002-01-14,-0.005717265980277109
2002-01-15,0.006869108451256212
2002-01-16,-0.01685899933856405
2002-01-17,0.011548052594325897
2002-01-18,-0.01098639099563814
2002-01-22,-0.008014020982241243
2002-01-23,0.00525734709764536
2002-01-24,0.0025452329205730706
2002-01-25,8.692168292689928e-05
2002-01-28,-0.00039997478535180875
2002-01-29,-0.03066557317005203
2002-01-30,0.012740409152819598
2002-01-31,0.016141580624306595
2002-02-01,-0.0072189832759688155
2002-02-04,-0.027961681905356084
2002-02-05,-0.001897236880661568
2002-02-06,-0.003946545234278953
2002-02-07,-0.0027444742495876806
2002-02-08,0.015655519177034893
2002-02-11,0.01399653205375051
2002-02-12,-0.004548041421556959
2002-02-13,0.009386443209995043
2002-02-14,-0.0011623543388774582
2002-02-15,-0.013189181324122723
2002-02-19,-0.01863674306430607
2002-02-20,0.015239897670924485
2002-02-21,-0.016158843113527332
2002-02-22,0.009952897968220631
2002-02-25,0.017580051360572613
2002-02-26,-0.0019689352744600708
2002-02-27,0.0007465191996558485
2002-02-28,-0.0012077175558146136
2002-03-01,0.02444835734885964
2002-03-04,0.017981197704825425
2002-03-05,-0.007791732885556235
2002-03-06,0.01419367573221475
2002-03-07,-0.005642088351386909
2002-03-08,0.005043657899449716
2002-03-11,0.0032041799932718273
2002-03-12,-0.0010814960106876326
2002-03-13,-0.010810560757439358
2002-03-14,-0.0006327947827312608
2002-03-15,0.011637238536597705
2002-03-18,-0.002537512878063697
2002-03-19,0.004172145162702812
2002-03-20,-0.01675428312480931
2002-03-21,0.0004638156194523013
2002-03-22,-0.004034708426768674
2002-03-25,-0.014515064137467726
2002-03-26,0.006122413463416132
2002-03-27,0.0040336029228791315
2002-03-28,0.0006580285186559287
2002-04-01,-0.0020592909330150455
2002-04-02,-0.009017153834145253
2002-04-03,-0.009536556586644984
2002-04-04,0.0012189130797655157
2002-04-05,-0.004764171568764741
2002-04-08,-0.00012412205559109157
2002-04-09,-0.00907881018948875
2002-04-10,0.011667158700685132
2002-04-11,-0.028106401874012032
2002-04-12,0.007789407947011107
2002-04-15,-0.010871563617252833
2002-04-16,0.02477544740024462
2002-04-17,-0.002779307701299749
2002-04-18,-0.0006610242976043956
2002-04-19,0.0007687226241450684
2002-04-22,-0.017417246436526534
2002-04-23,-0.007708512842250603
2002-04-24,-0.007218766085610007
2002-04-25,-0.0021591978403741052
2002-04-26,-0.015387758765005755
2002-04-29,-0.010387452922664187
2002-04-30,0.010553483553213505
2002-05-01,0.011513907967151127
2002-05-02,-0.001856906663692759
2002-05-03,-0.013041150044760363
2002-05-06,-0.020809844409367617
2002-05-07,-0.0024255213155434108
2002-05-08,0.04322493473894884
2002-05-09,-0.01651805844481491
2002-05-10,-0.015892742327729747
2002-05-13,0.020105534224434507
2002-05-14,0.022182189755113768
2002-05-15,-0.006561503326393825
2002-05-16,0.010811381757873662
2002-05-17,0.009892645947748191
2002-05-20,-0.014494774395503174
2002-05-21,-0.012837440624822283
2002-05-22,0.006762193310489106
2002-05-23,0.010425938500590703
2002-05-24,-0.013970860915931915
2002-05-28,-0.010371862059547765
2002-05-29,-0.008010235885249073
2002-05-30,-0.0021884634982597406
2002-05-31,0.0006050660287102438
2002-06-03,-0.02732430392877483
2002-06-04,0.0025061955297325245
2002-06-05,0.009379232884774602
2002-06-06,-0.02173288427119313
2002-06-07,-0.004376372332788758
2002-06-10,0.0033706367389239045
2002-06-11,-0.016364431550678238
2002-06-12,0.012622282110165806
2002-06-13,-0.009585392009922256
2002-06-14,-0.0007965467053674402
2002-06-17,0.028738804666581297
2002-06-18,0.0010654961462526202
2002-06-19,-0.017591326541700925
2002-06-20,-0.015010687524392274
2002-06-21,-0.02119910367352873
2002-06-24,0.007396499975214077
2002-06-25,-0.01951159125114088
2002-06-26,-0.0017583179841657026
2002-06-27,0.018732987732638318
2002-06-28,-0.003030838019511539
2002-07-01,-0.022769941592448273
2002-07-02,-0.01847754773134469
2002-07-03,0.009146834665362702
2002-07-05,0.03846883467701545
2002-07-08,-0.012929799597769631
2002-07-09,-0.022723103737234407
2002-07-10,-0.03482448475097133
2002-07-11,0.00922193848528119
2002-07-12,-0.008662424715519479
2002-07-15,-0.003791571812533756
2002-07-16,-0.018286448418739276
2002-07-17,0.01085090604861505
2002-07-18,-0.02733202719244865
2002-07-19,-0.041198315641026495
2002-07-22,-0.03597258567984851
2002-07-23,-0.027287449126147445
2002-07-24,0.058550752328489386
2002-07-25,-0.00638131130828179
2002-07-26,0.023076935452943648
2002-07-29,0.05607477303565034
2002-07-30,0.004502403799945043
2002-07-31,0.013181720691450627
2002-08-01,-0.03170830071217212
2002-08-02,-0.023114015488742146
2002-08-05,-0.03568711132360025
2002-08-06,0.030127140535868735
2002-08-07,0.023865245046936323
2002-08-08,0.03556383933067875
2002-08-09,0.003631121814707816
2002-08-12,-0.0058193047057942815
2002-08-13,-0.02378604899417769
2002-08-14,0.04298229322507008
2002-08-15,0.01149770973606934
2002-08-16,-0.0028523912073151747
2002-08-19,0.026470826214367582
2002-08-20,-0.014162710278802004
2002-08-21,0.012678543090314465
2002-08-22,0.012311481453438633
2002-08-23,-0.023562119393780723
2002-08-26,0.006512110301139407
2002-08-27,-0.013484374653547015
2002-08-28,-0.018295649429810656
2002-08-29,-0.0011458689829754176
